BMA x MUR AC,-22.5453933333,-44.1693483333,112,1
BMA x MUR AC,-21.1281583333,-42.3698666667,292,92
VAS X PAR,-22.4056,-43.6654633333,2,1
VAS X PAR,-22.5020066667,-43.74956,8,9
VAS X PAR,-22.5134233333,-43.7490683333,9,10
VAS X PAR,-22.519855,-43.7394066667,10,11
VAS X PAR,-22.5238766667,-43.7354166667,11,12
VAS X PAR,-22.5254083333,-43.729485,13,14
VAS X PAR,-22.5275666667,-43.7188583333,14,15
VAS X PAR,-22.530205,-43.7077116667,15,16
VAS X PAR,-22.5296033333,-43.7034633333,16,17
VAS X PAR,-22.5416533333,-43.6977233333,17,18
VAS X PAR,-22.553115,-43.6910566667,18,19
VAS X PAR,-22.54956,-43.677835,19,23
VAS X PAR,-22.5549033333,-43.6835433333,20,24
VAS X PAR,-22.55935,-43.6840316667,21,25
VAS X PAR,-22.5704333333,-43.6908133333,22,27
VAS X PAR,-22.5770066667,-43.692885,23,29
VAS X PAR,-22.5882033333,-43.6918416667,24,31
VAS X PAR,-22.6044266667,-43.700355,25,32
VAS X PAR,-22.6057083333,-43.7032583333,26,33
VAS X PAR,-22.6119016667,-43.7113566667,27,34
VAS X PAR,-22.5650116667,-43.6880833333,31,26
VAS X PAR,-22.5549033333,-43.6835433333,68,22
VAS X PAR,-22.5406166667,-43.6951116667,71,21
VAS X PAR,-22.5486483333,-43.6816733333,73,20
VAS X PAR,-22.4780083333,-43.749485,75,7
VAS X PAR,-22.5842466667,-43.6906266667,78,30
VAS X PAR,-22.5673533333,-43.68812,80,28
VAS X PAR,-22.4858633333,-43.7492466667,82,8
VAS X PAR,-22.525765,-43.7311533333,178,13
VAS X PAR,-22.6119016667,-43.7113566667,27,34
CAR X BMA,-20.7348666667,-42.03093,309,1
CAR X BMA,-20.74743,-42.2886266667,297,14
CAR X BMA,-20.72915,-42.2820733333,298,13
CAR X BMA,-20.6237783333,-42.2213833333,299,11
CAR X BMA,-20.6216316667,-42.1699583333,300,10
CAR X BMA,-20.6152466667,-42.1478583333,302,8
CAR X BMA,-20.7348666667,-42.03093,309,1
CAR X BMA,-20.7127733333,-42.03518,310,2
CAR X BMA,-20.707125,-42.0802466667,337,4
CAR X BMA,-20.6295266667,-42.22785,340,12
