linha,latitude',longitude,pc_id,pc_sequencia
CAR X BMA,-22.5453933333,-44.1693483333,112,123
SJO X PET,-22.14941,-42.9207,548,1
SJO X PET,-22.5159083333,-43.229015,192,8
JDF X BMA COM AC,-21.738605,-43.3740583333,219,1
JDF X BMA COM AC,-22.5453933333,-44.1693483333,112,65
BMA X CAR,-22.5453933333,-44.1693483333,112,1
BMA X CAR,-21.12441,-42.3812766667,293,93
BMA X CAR,-20.6163116667,-42.1526366667,301,100
BMA X CAR,-20.6193366667,-42.14426,303,102
BMA X CAR,-20.6892766667,-42.0993216667,304,103
BMA X CAR,-20.6923316667,-42.0957933333,305,104
BMA X CAR,-20.7017416667,-42.0876133333,306,105
BMA X CAR,-20.7054716667,-42.0701716667,307,106
BMA X CAR,-20.7034933333,-42.0547783333,308,107
BMA X CAR,-20.7348666667,-42.03093,309,108
BEM X TRS,-22.1417383333,-43.0968633333,565,1
BEM X TRS,-22.12328,-43.1693866667,203,5
BEM X TRS,-22.1204533333,-43.18345,204,6
BEM X TRS,-22.1269983333,-43.146035,391,3
BEM X TRS,-22.1234433333,-43.1563433333,392,4
BEM X TRS,-22.1153966667,-43.1978466667,158,7
FAC UFRJ,-21.7731966667,-43.3702283333,557,1
FAC UFRJ,-21.7731966667,-43.3702283333,557,1
FAC UFRJ,-21.7514833333,-43.35417,558,2
FAC UFRJ,-21.7514833333,-43.35417,558,2
ARE X BEM,-22.23554,-43.1021766667,453,1
ARE X BEM,-22.2048366667,-43.0958466667,570,2
ARE X BEM,-22.1417383333,-43.0968633333,565,4
MU X BMA,-20.2488166667,-42.0296466667,329,1
MU X BMA,-20.7092033333,-42.031735,311,19
MU X BMA,-20.6325933333,-41.9843933333,313,16
MU X BMA,-20.5345283333,-41.99203,315,15
MU X BMA,-20.35121,-41.95898,322,7
MU X BMA,-20.2474916667,-41.98214,324,5
MU X BMA,-20.2488166667,-42.0296466667,329,1
MU X BMA,-20.2583433333,-42.0136016667,330,3
MU X BMA,-20.2532483333,-41.994795,331,4
MU X BMA,-20.3802233333,-41.9647866667,332,10
MU X BMA,-20.4608883333,-41.9742933333,333,13
MU X BMA,-20.4725666667,-41.9906016667,334,14
MU X BMA,-20.6321933333,-41.9917766667,335,17
MU X BMA,-20.652915,-42.0085883333,336,18
MU X BMA,-20.25782,-42.0246066667,393,2
MU X BMA,-20.3483266667,-41.9519383333,394,6
MU X BMA,-20.3655,-41.9602983333,395,8
MU X BMA,-20.3772616667,-41.9610133333,396,9
MU X BMA,-20.419205,-41.9672016667,397,11
MU X BMA,-20.4306033333,-41.9597333333,398,12
MU X BMA,-22.5453933333,-44.1693483333,112,143
BMA x JDF S-DIR AC,-22.5453933333,-44.1693483333,112,1
BMA x JDF S-DIR AC,-22.1217033333,-43.2322666667,228,50
BMA x JDF S-DIR AC,-22.1049866667,-43.2163866667,229,52
